Country,RIC,Company Name,GICS Sector ,GICS Industry
Hong Kong,2119.HK,Tsit Wing International Holdings Ltd,Consumer Staples,Food Products
Hong Kong,8436.HK,Takbo Group Holdings Ltd,Consumer Staples,Personal Care Products
Hong Kong,8400.HK,Asia Pioneer Entertainment Holdings Ltd,Industrials,Trading Companies & Distributors
Hong Kong,8402.HK,Plateau Treasures Ltd,Industrials,Construction & Engineering
Hong Kong,8168.HK,Amasse Capital Holdings Ltd,Financials,Capital Markets
Hong Kong,8445.HK,Noble Engineering Group Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,8043.HK,Atlinks Group Ltd,Information Technology,Communications Equipment
Hong Kong,6885.HK,Henan Jinma Energy Co Ltd,Materials,Metals & Mining
Hong Kong,2337.HK,United Strength Power Holdings Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,8372.HK,Grand Brilliance Group Holdings Ltd,Health Care,Health Care Providers & Services
Hong Kong,8476.HK,Ocean One Holding Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,8480.HK,Furniweb Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,8275.HK,China New Consumption Group Ltd,Industrials,Construction & Engineering
Hong Kong,8437.HK,RMH Holdings Ltd,Health Care,Health Care Providers & Services
Hong Kong,8065.HK,KML Technology Group Ltd,Industrials,Construction & Engineering
Hong Kong,8392.HK,Satu Holdings Ltd,Consumer Discretionary,Household Durables
Hong Kong,1529.HK,Yues International Holdings Group Ltd,Industrials,Air Freight & Logistics
Hong Kong,6080.HK,Wing Chi Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,2225.HK,Jinhai Medical Technology Ltd,Industrials,Professional Services
Hong Kong,8430.HK,C&N Holdings Ltd,Industrials,Ground Transportation
Hong Kong,2116.HK,Jiangsu Innovative Ecological New Materials Ltd,Materials,Chemicals
Hong Kong,8512.HK,Hyfusin Group Holdings Ltd,Consumer Staples,Household Products
Hong Kong,9978.HK,Fineland Living Services Group Ltd,Real Estate,Real Estate Management & Development
Hong Kong,1671.HK,Tianjin Tianbao Energy Co Ltd,Utilities,Electric Utilities
Hong Kong,8429.HK,SV Vision Ltd,Industrials,Commercial Services & Supplies
Hong Kong,8493.HK,Dragon King Group Holdings Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,8495.HK,1957 & Co (Hospitality) Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,2232.HK,Crystal International Group Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,8540.HK,Victory Securities (Holdings) Co Ltd,Financials,Capital Markets
Hong Kong,8521.HK,WebX International Holdings Co Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,8223.HK,Ziyuanyuan Holdings Group Ltd,Financials,Financial Services
Hong Kong,8241.HK,Ying Kee Tea House Group Ltd,Consumer Staples,Consumer Staples Distribution & Retail
Hong Kong,1715.HK,Volcanospring International Holdings Ltd,Consumer Discretionary,Household Durables
Hong Kong,1598.HK,China 21st Century Education Group Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,8419.HK,AV Promotions Holdings Ltd,Industrials,Commercial Services & Supplies
Hong Kong,8375.HK,Vertical International Holdings Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,0772.HK,China Literature Ltd,Communication Services,Media
Hong Kong,1720.HK,Putian Communication Group Ltd,Information Technology,Communications Equipment
Hong Kong,8373.HK,Indigo Star Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,2858.HK,Yixin Group Ltd,Financials,Consumer Finance
Hong Kong,1620.HK,Cinese International Group Holdings Ltd,Consumer Discretionary,"Hotels, Restaurants & Leisure"
Hong Kong,1752.HK,Top Education Group Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,2779.HK,China Xinhua Education Group Ltd,Consumer Discretionary,Diversified Consumer Services
Hong Kong,1997.HK,Wharf Real Estate Investment Company Ltd,Real Estate,Real Estate Management & Development
Hong Kong,8403.HK,Dowway Holdings Ltd,Communication Services,Media
Hong Kong,8305.HK,Sheng Tang Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,8526.HK,Wing Fung Group Asia Ltd,Industrials,Construction & Engineering
Hong Kong,8451.HK,Sunlight (1977) Holdings Ltd,Consumer Discretionary,Distributors
Hong Kong,2227.HK,Solis Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1475.HK,Nissin Foods Co Ltd,Consumer Staples,Food Products
Hong Kong,8377.HK,Harbour Equine Holdings Ltd,Consumer Discretionary,"Textiles, Apparel & Luxury Goods"
Hong Kong,1727.HK,Hebei Construction Group Corp Ltd,Industrials,Construction & Engineering
Hong Kong,3878.HK,Vicon Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,0784.HK,Ling Yui Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,1481.HK,Smart Globe Holdings Ltd,Industrials,Commercial Services & Supplies
Hong Kong,2708.HK,IBO Technology Co Ltd,Information Technology,"Electronic Equipment, Instruments & Components"
Hong Kong,3738.HK,Vobile Group Ltd,Information Technology,Software
Hong Kong,2292.HK,Thing On Enterprise Ltd,Real Estate,Real Estate Management & Development
Hong Kong,6158.HK,Zhenro Properties Group Ltd,Real Estate,Real Estate Management & Development
Hong Kong,2448.HK,Space Group Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,8313.HK,ZACD Group Ltd,Financials,Capital Markets
Hong Kong,3699.HK,Everbright Grand China Assets Ltd,Real Estate,Real Estate Management & Development
Hong Kong,8513.HK,MaxWin International Holdings Ltd,Health Care,Health Care Equipment & Supplies
Hong Kong,8509.HK,Wine's Link International Holdings Ltd,Consumer Discretionary,Distributors
Hong Kong,2139.HK,Bank of Gansu Co Ltd,Financials,Banks
Hong Kong,1711.HK,Ulferts International Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,8450.HK,EDICO Holdings Ltd,Industrials,Commercial Services & Supplies
Hong Kong,6829.HK,Dragon Rise Group Holdings Ltd,Industrials,Construction & Engineering
Hong Kong,7500.HK,CSOP Hang Seng Index Daily (-2x) Inverse,,
Hong Kong,2826.HK,Global X China Cloud Computing ETF HKD,,
Hong Kong,1692.HK,Town Ray Holdings Ltd,Consumer Discretionary,Household Durables
Hong Kong,7233.HK,CSOP CSI 300 Index Daily (2x) Lvrgd Prod,,
Hong Kong,2423.HK,Ke Holdings Inc,Real Estate,Real Estate Management & Development
Hong Kong,3033.HK,CSOP Hang Seng Tech Index ETF,,
Hong Kong,3032.HK,Hang Seng TECH Index ETF A HKD Acc,,
Hong Kong,9896.HK,MINISO Group Holding Ltd,Consumer Discretionary,Broadline Retail
Hong Kong,9187.HK,Samsung S&P High Div APAC ex NZ REITs ETF USD,,
Hong Kong,83130.HK,Hang Seng Harvest CSI 300 Index ETF RMB,,
Hong Kong,3193.HK,CSOP Yinhua CSI 5G Communications Theme ETF RMB,,
Hong Kong,83108.HK,Harvest CSI 300 ESG Leaders Index ETF RMB,,
Hong Kong,2390.HK,Zhihu Inc,Communication Services,Interactive Media & Services
Hong Kong,3050.HK,Global X China Global Leaders ETF,,
Hong Kong,3058.HK,Global X China Innovator Active ETF,,
Hong Kong,3069.HK,ChinaAMC Hang Seng Hong Kong Biotech Index ETF HKD,,
Hong Kong,9001.HK,Premia China USD Property Bond ETF USD,,
Hong Kong,82817.HK,Premia China Treasury&Policy Bk Bd Lg Dur ETF RMB,,
Hong Kong,3134.HK,CSOP Huatai-PineBridge CSI Photovoltaic Ind ETF,,
Hong Kong,7232.HK,Fubon FTSE Taiwan Daily (2x) Leveraged,,
Hong Kong,7332.HK,Fubon FTSE Taiwan Daily (-1x) Inverse,,
Hong Kong,3174.HK,CSOP China Healthcare Disruption Index ETF,,
Hong Kong,83151.HK,Premia China STAR50 ETF RMB,,
Hong Kong,3132.HK,Samsung Bloomberg Global Semiconductor ETF,,
Hong Kong,3185.HK,Global X FinTech ETF (Hong Kong),,
Hong Kong,3051.HK,Global X Asia Innovator Active ETF,,
Hong Kong,2849.HK,Global X Autonomous and Electric Vehicles ETF,,
Hong Kong,3003.HK,CSOP MSCI China A 50 Connect ETF,,
Hong Kong,82839.HK,ChinaAMC MSCI China A 50 Connect ETF RMB,,
Hong Kong,83111.HK,E Fund (HK) MSCI China A50 Connect ETF RMB,,
Hong Kong,3076.HK,Fubon ICE FactSet Taiwan Core Semicndctr Idx ETF,,
Hong Kong,3021.HK,Fubon FTSE Taiwan RIC Capped Index ETF,,
Hong Kong,3171.HK,Samsung Blockchain Technologies ETF,,
Hong Kong,3172.HK,Samsung Asia Pacific ex NZ Metaverse Theme ETF,,
Hong Kong,3116.HK,Global X Asia Pacific High Dividend Yield ETF,,
Hong Kong,3041.HK,Global X FTSE China Policy Bank Bond ETF,,
Hong Kong,3059.HK,Global X BBG MSCI Asia ex Jp Green Bd ETF HKD,,
Hong Kong,3403.HK,ChinaAMC HSI ESG ETF HKD,,
Hong Kong,2835.HK,Phillip HK Newly Listed Equities Index ETF,,
Hong Kong,83192.HK,Bosera RMB Money Market ETF A RMB,,
Hong Kong,3056.HK,Pando Innovation ETF,,
Hong Kong,3112.HK,Pando Blockchain ETF,,
Hong Kong,3068.HK,CSOP Ether Futures ETF,,
Hong Kong,3066.HK,CSOP Bitcoin Futures ETF,,
Hong Kong,2837.HK,Global X Hang Seng Tech ETF,,
Hong Kong,3405.HK,Fubon ICE FactSet Asia Batt & Engy Sto Tch Idx ETF,,
Hong Kong,3137.HK,Global X USD Money Market ETF,,
Hong Kong,9075.HK,Global X Asia USD Investment Grade Bond ETF USD,,
Hong Kong,2841.HK,Global X China Medtech ETF,,
Hong Kong,2815.HK,Global X China Little Giant ETF,,
Hong Kong,3153.HK,CSOP Nikkei 225 Index ETF,,
Hong Kong,3419.HK,Global X HSI Components Covered Call Active ETF,,
Hong Kong,9446.HK,ChinaAMC 20+ Year US Treasury Bond ETF USD Acc,,
Hong Kong,2245.HK,Lygend Resources & Technology Co Ltd,Materials,Metals & Mining
Hong Kong,2436.HK,LX Technology Group Ltd,Information Technology,IT Services
Hong Kong,2420.HK,Zibuyu Group Ltd,Consumer Discretionary,Specialty Retail
Hong Kong,1407.HK,JY Gas Ltd,Utilities,Gas Utilities
Hong Kong,6696.HK,Many Idea Cloud Holdings Ltd,Communication Services,Media
Hong Kong,2291.HK,Lepu Scientech Medical Technology Shanghai Co Ltd,Health Care,Health Care Equipment & Supplies
Hong Kong,2367.HK,Giant Biogene Holding Co Ltd,Consumer Staples,Personal Care Products
